,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
actiondesc_slow_bullet,A slow but powerful orb of energy,"Медленный, но мощный шар энергии.","Um orbe de energia lento, porém poderoso.",Un lento pero poderoso orbe de energía.,"Eine langsame, aber mächtige Energiekugel.",Un orbe énergétique lent mais puissant,缓慢而强大的能量球体,ゆっくりだが強力なエネルギーのオーブ。,느리지만 강력한 에너지 오브입니다,,,,
action_slow_bullet_trigger,Energy orb with a trigger,Энергетический шар с активацией,Orbe de energia com gatilho,Orbe de energía activado,Energiekugel mit Auslöser,Orbe énergétique à déclenchement,带有触发的能量球,トリガー付きのオーブ,트리거가 있는 에너지 오브,,,,
actiondesc_slow_bullet_trigger,A slow but powerful orb of energy that casts another spell upon collision,"Медленный, но мощный шар энергии, при столкновении вызывает другое заклинание","Um orbe de energia lento, porém poderoso que lança outro feitiço no impacto.",Un lento pero poderoso orbe de energía que lanza otro hechizo al impactar,"Eine langsame, aber mächtige Energiekugel, die nach dem Aufprall einen weiteren Zauber auslöst",Un orbe énergétique lent mais puissant qui lance un autre sort à l'impact,缓慢而强大的能量球体，在碰撞时施放另一法术,ゆっくりだが強力なエネルギーのオーブで、接触時にもう1つの呪文をかける,충돌 시 다른 주문을 시전하는 느리지만 강력한 에너지 오브입니다,,,,
action_slow_bullet_timer,Energy orb with a timer,Энергетический шар с таймером,Orbe de energia com cronômetro,Orbe de energía con temporizador,Energiekugel mit Timer,Orbe énergétique minuté,带有定时的能量球,タイマー付きのオーブ,타이머가 있는 에너지 오브,,,,
actiondesc_slow_bullet_timer,A slow but powerful orb of energy with a timer,"Медленный, но мощный шар энергии, с таймером","Um orbe de energia lento, porém poderoso com um cronômetro.",Un lento pero poderoso orbe de energía con temporizador,"Eine langsame, aber mächtige Energiekugel mit Timer",Un orbe énergétique lent mais puissant avec une minuterie,缓慢而强大的能量球体，带有定时,ゆっくりだが強力な、タイマー付きのエネルギーのオーブ。,타이머가 있는 느리지만 강력한 에너지 오브입니다,,,,
action_black_hole,Black hole,Черная дыра,Buraco negro,Agujero negro,Schwarzes Loch,Trou noir,黑洞,ブラックホール,블랙홀,,,,
actiondesc_black_hole,A slow orb of void that eats through all obstacles,"Медленный шар пустоты, пожирающий препятствия",Um orbe de limbo lento que suga todos os obstáculos.,Un lento orbe de vacío que devora todo a su paso,"Eine langsame Kugel der Leere, die sich durch alle Hindernisse frisst",Un orbe de néant lent qui dévore tous les obstacles,缓慢的虚无球体，会吞噬沿路的一切障碍,全ての障害物を飲み込んでいく、ゆっくりとした空間のオーブ,모든 장애물을 먹어치우는 느린 무의 오브입니다,,,,
action_black_hole_big,Giga black hole,Огромная черная дыра,Buraco negro gigante,Agujero negro gigante,Gigantisches schwarzes Loch,Giga trou noir,巨大黑洞,ギガブラックホール,거대한 블랙홀,,,,
actiondesc_black_hole_big,A growing orb of negative energy that destroys everything in its reach,"Растущий шар негативной энергии, разрушающий всё в пределах ее досягаемости",Um orbe crescente de energia negativa que destrói tudo em seu alcance.,Un orbe de energía negativa creciente que destruye todo a su paso,"Eine wachsende Kugel aus negativer Energie, die alles in ihrer Reichweite vernichtet",Un orbe grandissant d'énergie négative qui détruit tout ce qu'il touche,不断增长的负面能量球体，摧毁所及的一切,到達範囲にあるもの全てを破壊して行く、成長するマイナスエネルギーのオーブ,닿는 것을 모두 파괴하는 음의 기운이 뭉친 점점 커지는 오브입니다,,,,
action_decoy,Decoy,Приманка,Isca,Señuelo,Köder,Leurre,诱饵,囮,미끼,,,,
actiondesc_decoy,Creates a decoy for distracting enemies,"Создает отвлекающую врагов приманку,",Cria uma isca para distrair inimigos.,Crea un señuelo que distrae enemigos,Erstellt einen Köder zur Ablenkung von Feinden,Crée un leurre qui attire l'attention des ennemis,制作一个吸引敌人的诱饵,敵の注意を引くための囮を作り出す,적의 주의를 분산하는 미끼를 생성합니다,,,,
action_decoy_trigger,Decoy with trigger,Приманка с активацией,Isca com gatilho,Señuelo activado,Köder mit Auslöser,Leurre à déclenchement,带有触发的诱饵,トリガー付きの囮,트리거가 있는 미끼,,,,
actiondesc_decoy_trigger,Creates a decoy for distracting enemies that casts another spell after a timer runs out,"Создает отвлекающую врагов приманку, через определенное время вызывает другое заклинание",Cria uma isca para distrair inimigos que lança outro feitiço quando o tempo acaba.,Crea un señuelo que distrae enemigos que lanza otro hechizo cuando se agota el tiempo,"Erstellt einen Köder zur Ablenkung von Feinden, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Crée un leurre qui lance un autre sort à la fin d'une minuterie pour distraire les ennemis,制造一个吸引敌人的诱饵，在过去一段时间后施放另一法术,時間切れになった後にもう1つの呪文をかけ、敵の注意を引く囮を作り出す,충돌 시 타이머가 만료되면 다른 주문을 시전하는 미끼입니다,,,,
action_spitter,Spitter bolt,Молния-плевок,Virote cuspidor,Mini rayo,Zündschnurblitz,Trait cracheur,分裂弹,スピッターボルト,스피터 볼트,,,,
actiondesc_spitter,A short-lived magical bolt,Недолговечная волшебная молния,Um breve virote mágico.,Un proyectil mágico de corta duración,Ein kurzlebiger magischer Blitz,Un trait magique éphémère,寿命短暂的魔法弹,短命の魔法のボルト,금방 없어지는 마법 볼트입니다,,,,
action_spitter_timer,Spitter bolt with timer,Молния-плевок с таймером,Virote cuspidor com cronômetro,Mini rayo con temporizador,Zündschnurblitz mit Timer,Trait cracheur minuté,带有定时的分裂弹,タイマー付きのスピッターボルト,타이머가 있는 스피터 볼트,,,,
actiondesc_spitter_timer,A short-lived magical bolt that casts another spell after a timer runs out,"Недолговечная волшебная молния, через определенное время вызывает другое заклинание",Um breve virote mágico que lança outro feitiço quando o tempo acaba.,Un mini rayo que lanza otro hechizo cuando se agota el tiempo,"Ein kurzlebiger magischer Blitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Un trait magique éphémère qui lance un autre sort à la fin d'une minuterie,在过去一段时间后施放另一法术的寿命短暂魔法弹,時間切れになった後にもう1つの呪文をかける、短命の魔法ボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 금방 없어지는 스피터 볼트입니다,,,,
action_bubbleshot,Bubble spark,Пузырьковая искра,Fagulha de bolha,Chispa burbuja,Sprudelfunken,Bulle-étincelle,泡泡火花,バブルスパーク,버블 불꽃,,,,
actiondesc_bubbleshot,A bouncy but inaccurate spell,"Хорошо отскакивающее, но неточное заклинание",Um feitiço ricocheteante e impreciso.,Un hechizo rebotador de poca precisión,"Ein umherspringender, aber unpräziser Zauber",Un sort à rebonds mais peu précis,弹性十足但不够准确的法术,バウンドするが、正確ではない呪文,튕겨 다니지만 명중률이 낮은 주문입니다,,,,
action_bubbleshot_trigger,Bubble spark with trigger,Пузырьковая искра с активацией,Fagulha de bolha com gatilho,Chispa burbuja activada,Sprudelfunken mit Auslöser,Bulle-étincelle à déclenchement,带有触发的泡泡火花,トリガー付きのバブルスパーク,트리거가 있는 버블 불꽃,,,,
actiondesc_bubbleshot_trigger,A bouncy but inaccurate spell that casts another spell upon collision,"Хорошо отскакивающее, но неточное заклинание, при столкновении вызывает другое заклинание",Um feitiço saltitante e impreciso que lança outro feitiço no impacto.,Un hechizo rebotador de poca precisión que lanza otro hechizo al impactar,"Ein umherspringender aber unpräziser Zauber, der nach dem Aufprall einen weiteren Zauber auslöst",Un sort à rebonds mais peu précis qui lance un autre sort à l'impact,弹性十足但不够准确的法术，在碰撞时施放另一法术,接触時にもう1つの呪文をかける、バウンドするが、正確ではない呪文,충돌 시 다른 주문을 시전하는 튕겨 다니지만 명중률이 낮은 주문입니다,,,,
action_disc_bullet,Summon disc projectile,Вызов дискового снаряда,Evocar projétil de disco,Invocar disco proyectil,Scheibenprojektil beschwören,Disque invoqué,召唤碟状投射物,円盤放射物召喚,디스크 발사체 소환,,,,
actiondesc_disc_bullet,Summons a sharp disc projectile,Вызывает острый дисковый снаряд,Evoca um projétil de disco afiado.,Invoca un disco proyectil afilado,Beschwört ein scharfes Scheibenprojektil,Invoque un projectile tranchant en forme de disque,召唤锐利的碟状投射物,鋭い円盤放射物を召喚する,날카로운 디스크 발사체를 소환합니다,,,,
action_bouncy_orb,Energy sphere,Энергетическая сфера,Esfera de energia,Esfera de energía,Energiesphäre,Sphère d'énergie,能量球体,エネルギー球体,에너지 구체,,,,
actiondesc_bouncy_orb,"A fast, arcing projectile",Быстрый дуговой снаряд,Um projétil de arco rápido.,Un proyectil rápido que se desplaza en un arco,"Ein schnelles, bogenförmiges Projektil",Un projectile rapide à la trajectoire arquée,快速的弧线行进投射物,素早いアーク放電放射物,빠르게 원호를 그리는 발사체입니다,,,,
action_bouncy_orb_timer,Energy sphere with timer,Энергетическая сфера с таймером,Esfera de energia com cronômetro,Esfera de energía con temporizador,Energiesphäre mit Timer,Sphère d'énergie minutée,带有定时的能量球体,タイマー付きのエネルギー球体,타이머가 있는 에너지 구체,,,,
actiondesc_bouncy_orb_timer,"A fast, arcing projectile with a timer",Быстрый дуговой снаряд с таймером,Um projétil de arco rápido e com um cronômetro.,Un proyectil rápido que se desplaza en un arco con temporizador,"Ein schnelles, bogenförmiges Projektil mit einem Timer",Un projectile rapide à la trajectoire arquée avec une minuterie,带有定时，快速的弧线行进投射物,タイマー付きの、素早いアーク放電放射物,타이머가 있는 빠르게 원호를 그리는 발사체입니다,,,,
action_rubber_ball,Bouncing burst,Скачущий взрыв,Projétil ricocheteante,Ráfaga rebotadora,Springende Explosion,Salve à rebonds,弹跳爆发,バウンドバースト,바운스 버스트,,,,
actiondesc_rubber_ball,A very bouncy projectile,Очень хорошо отскакивающий снаряд,Um projétil bem ricocheteante.,Un proyectil que rebota mucho,Ein sehr sprunghaftes Projektil,Un projectile très rebondissant,极具弹跳力的投射物,非常にバウンドする放射物,통통 튕기는 발사체입니다,,,,
