,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
actiondesc_pipe_bomb,A crystal that explodes when caught in another explosion,,"Кристалл, взрывающийся, если его затрагивает другой взрыв",被另一爆炸波及便会爆炸的晶体,他の爆破に巻き込まれた時に爆発するクリスタル,다른 폭발에 휘말리면 함께 폭발하는 수정입니다,Um cristal que explode quando atingido por outra explosão.,Un cristal que explota cuando le alcanza otra explosión,"Ein Kristall, der explodiert, wenn er von einer anderen Explosion getroffen wird",Un cristal qui explose une fois pris dans une autre explosion,,,
action_pipe_bomb_death_trigger,Dormant crystal with trigger,,Дремлющий кристалл с активацией,带有触发的休眠晶体,トリガー付きの休眠クリスタル,트리거가 있는 휴면 상태 수정,Cristal dormente com gatilho,Cristal durmiente activado,Inaktiver Kristall mit Auslöser,Cristal dormant à déclenchement,,,
actiondesc_pipe_bomb_death_trigger,A crystal that explodes and casts another spell when caught in another explosion,,"Кристалл, который взрывается и вызывает другое заклинание, если его затрагивает другой взрыв",被另一爆炸波及便会爆炸，同时施放另一法术的晶体,他の爆破に巻き込まれた時に爆発し、もう1つの呪文をかけるクリスタル,다른 폭발에 휘말리면 함께 폭발하며 주문을 시전하는 수정입니다,Um cristal que explode e lança outro feitiço quando atingido por outra explosão.,Un cristal que explota y lanza otro hechizo cuando le alcanza otra explosión,"Ein Kristall, der explodiert und einen weiteren Zauber auslöst, wenn er von einer anderen Explosion getroffen wird",Un cristal qui explose et lance un autre sort une fois pris dans une autre explosion,,,
action_exploding_deer,Summon decoy deer,,Вызов оленя-приманки,召唤鹿诱饵,囮のシカを召喚,미끼 사슴 소환,Evocar cervo de distração,Invocar ciervo señuelo,Köderhirsch beschwören,Leurre cervidé invoqué,,,
actiondesc_exploding_deer,Summon a seemingly-innocuous deer,,Вызов кажущегося безобидным оленя,召唤一只看上去无害的鹿,無害に見えるシカを召喚する,겉보기에 무해한 사슴을 소환합니다,Evoca um cervo aparentemente inofensivo.,Invoca un ciervo aparentemente inofensivo,Beschwört einen scheinbar harmlosen Hirsch,Invoque un cerf à l'apparence anodine,,,
action_pipe_bomb_detonator,Dormant crystal detonation,,Детонация дремлющего кристалла,休眠晶体引爆,休眠クリスタル爆発,휴면 상태 수정 기폭,Detonação de cristal dormente,Detonación de cristal durmiente,Inaktive Kristalldetonation,Détonation de cristal dormant,,,
actiondesc_pipe_bomb_detonator,Causes all nearby dormant crystals to explode,,Вызывает все близлежащие дремлющие кристаллы,令附近的所有休眠晶体爆炸,近くにある全ての休眠クリスタルを爆発させる,주변에 있는 모든 휴면 상태 수정을 폭발시킵니다,Explode todos os cristais dormentes próximos.,Detona todos los cristales durmientes,"Bewirkt, dass alle inaktiven Kristalle in der Nähe explodieren",Fait exploser tous les cristaux dormants à proximité,,,
action_laser,Concentrated light,,Концентрированный свет,汇聚之光,集中ライト,집중된 빛,Luz concentrada,Luz concentrada,Konzentriertes Licht,Lumière concentrée,,,
actiondesc_laser,A pinpointed beam of light,,Заостренный луч света,汇聚起来的一束光线,ピンポイントのライトビーム,한 곳으로 집중된 빛입니다,Um feixe de luz localizado.,Un rayo de luz localizado,Ein gebündelter Lichtstrahl,Un rayon de lumière concentrée,,,
action_lightning,Lightning bolt,,Удар молнии,闪电弹,稲妻ボルト,번개 볼트,Relâmpago,Rayo,Blitzschlag,Éclair,,,
actiondesc_lightning,The primordial force of nature,,Исконная сила природы,大自然的原始力量,原始的な自然の力,자연의 원초적인 힘입니다,A força primitiva da natureza.,La fuerza primordial de la naturaleza,Die Urgewalt der Natur,La force primaire de la nature,,,
action_digger,Digging bolt,,Роющая молния,挖掘魔弹,発掘ボルト,땅 파는 볼트,Virote escavador,Rayo excavador,Grabungsblitz,Trait minier,,,
actiondesc_digger,Ideal for mining operations,,Отлично подходит для шахтерских работ,采矿作业的理想选择,地雷計画に理想的,채굴 작업에 좋습니다,Ideal para operações de mineração.,Ideal para operaciones de minería,Ideal für Minenarbeiten,Idéal pour les opérations minières,,,
action_powerdigger,Digging blast,,Роющий взрыв,挖掘爆破,発掘ブラスト,땅 파는 폭발,Explosão escavadora,Explosión excavadora,Grabungsexplosion,Explosion minière,,,
actiondesc_powerdigger,More powerful digging,,Более мощный роющий инструмент,更强的挖掘力,更に強力な掘削,더 강력하게 땅을 팔 수 있습니다,Uma escavação mais poderosa.,Excavación avanzada,Mächtigere Grabungen,Pour miner plus efficacement,,,
action_chainsaw,Chainsaw,,Цепная пила,链锯,チェーンソー,전기톱,Motosserra,Motosierra,Kettensäge,Tronçonneuse,,,
actiondesc_chainsaw,Good for digging meat,,Хорошо вгрызается в мясо,切割肉类的绝佳工具,肉を切るのに最適,고기를 깊이 팔 때 좋습니다,Útil para cortar carne.,Efectiva contra la carne,Ideal für die Fleischverarbeitung,Pratique pour couper de la viande,,,
action_tentacle,Tentacle,,Щупальце,触手,触覚,촉수,Tentáculo,Tentáculo,Tentakel,Tentacule,,,
actiondesc_tentacle,Calls a terrifying appendage from another dimension,,Вызывает страшную конечность из другого измерения,召唤一条来自异次元的绵延之物,異次元から恐ろしい突起部分を呼び出す,다른 차원에서 무시무시한 촉수를 불러냅니다,Chama um apêndice assustador de outra dimensão.,Invoca un apéndice terrorífico de otra dimensión,Beschwört eine furchterregende Gliedmaße aus einer anderen Dimension,Appelle un appendice terrifiant d'une autre dimension,,,
action_tentacle_timer,Tentacle with timer,,Щупальце с таймером,带有定时的触手,タイマー付きの触覚,타이머가 있는 촉수,Tentáculo com cronômetro,Tentáculo con temporizador,Tentakel mit Timer,Tentacule minuté,,,
actiondesc_tentacle_timer,Terror from another dimension! Comes with a timer,,Ужас из другого измерения! В комплекте с таймером,来自异次元的恐怖植物！附带有定时,異次元から来た恐怖！タイマー付き,다른 차원에서 온 공포의 존재입니다! 타이머도 드립니다,Um terror de outra dimensão! Vem com um cronômetro.,¡Terror de otra dimensión! Viene con temporizador,Der Schrecken aus einer anderen Dimension! Inklusive Timer,Une terreur d'une autre dimension ! Dispose d'un minuteur,,,
action_heal_bullet,Heal projectile,,Лечащий снаряд,治疗投射物,治癒の放射物,회복 발사체,Projétil de cura,Proyectil sanador,Heilungsprojektil,Projectile de soin,,,
actiondesc_heal_bullet,Heals whatever it hits,,При попадании лечит,击中便会治疗,当たったモノ全てを治癒する,명중 대상이 회복합니다,Cura o que atingir.,Sana todo lo que toca,"Heilt alles, was es trifft",Soigne tout ce qu'il touche,,,
action_spiral_shot,Spiral shot,,Спиральный выстрел,螺旋魔弹,スパイラルショット,나선 사격,Disparo espiral,Golpe espiral,Spiralschuss,Tir en spirale,,,
actiondesc_spiral_shot,A mystical whirlwind of magic sparks,,Мистический вихрь волшебных искр,魔法火花的神秘旋涡,魔法スパークの神秘的な旋風,마법으로 빛나는 신비한 회오리입니다,Um turbilhão místico de fagulhas mágicas.,Un remolino místico de chispas mágicas,Ein mystischer Wirbelsturm aus magischen Funken,Un tourbillon mystique d'étincelles magiques,,,
action_fireball,Fireball,,Огненный шар,火球,火の玉,화염구,Bola de fogo,Bola de fuego,Feuerball,Boule de feu,,,
actiondesc_fireball,A powerful exploding spell,,Мощное взрывающееся заклинание,强力的爆炸法术,強力な起爆性の呪文,강력한 폭발 주문입니다,Um feitiço explosivo poderoso.,Un poderoso hechizo explosivo,"Ein mächtiger, explosiver Zauber",Un sort explosif puissant,,,
action_meteor,Meteor,,Метеор,陨石,隕石,유성,Meteoro,Meteoro,Meteor,Météore,,,
actiondesc_meteor,Destructive projectile from the skies!,,Разрушительный снаряд с небес!,从天而降的毁灭性投射物！,空から降って来る破壊的な放射物！,하늘에서 떨어지는 강력한 파괴 주문입니다!,Projétil destrutivo que cai do céu!,¡Proyectil destructivo caído del cielo!,"Zerstörerisches Projektil, das vom Himmel stürzt!",Un projectile destructeur tombé du ciel !,,,
action_flamethrower,Flamethrower,,Огнемет,火焰喷射器,炎スローワー,화염방사기,Lança-chamas,Lanzallamas,Flammenwerfer,Lance-flammes,,,
actiondesc_flamethrower,A stream of fire!!,,Поток огня!!!,一道火流！,火の連射！！,불을 발사합니다!,Uma rajada de fogo!,¡Un chorro de fuego!,Ein Feuerstrahl!!,Un jet de flammes !!,,,
action_icethrower,Icethrower,,Ледомет,寒冰发射器,氷スローワー,얼음방사기,Lança-gelo,Lanzahielo,Eiswerfer,Lance-glace,,,
actiondesc_icethrower,A stream of ice!!,,Поток льда!!!,绵延寒冰！,氷の連射！！,얼음을 발사합니다!,Uma rajada de gelo!,¡Un chorro de hielo!,Ein Eisstrahl!!,Un jet de glace !!,,,
action_slimeball,Slimeball,,Шар слизи,粘液球,スライムボール,슬라임볼,Bola de gosma,Bola de limo,Schleimball,Boule de gelée,,,
actiondesc_slimeball,A dripping ball of poisonous slime,,"Шар ядовитой слизи, с которого еще и капает",有毒粘液的湿漉漉球体,毒がボタボタ落ちている猛毒スライム,독성 슬라임이 뚝뚝 떨어지는 공입니다,Uma bola respingando gosma venenosa.,Una bola pegajosa de limo venenoso,"Ein tropfender, giftiger Schleimball",Une boule dégoulinante de gelée empoisonnée,,,
action_darkflame,Path of dark flame,,Путь темного пламени,黑焰之道,闇の炎の道,검은 불꽃의 길,Trilha de chama escura,Camino de la llama oscura,Pfad der dunklen Flamme,Sentier de flammes noires,,,
actiondesc_darkflame,A trail of dark deadly flames,,След из темного смертельного пламени,致命黑焰之迹,闇の凶悪な炎の痕跡,검고 치명적인 불꽃 궤적입니다,Uma trilha de chamas escuras e letais.,Un rastro de letales llamas oscuras,"Eine Spur aus dunklen, tödlichen Flammen",Une traînée de flammes noires mortelles,,,
